request_time,origin,destination,origin addresses,destination addresses,mode,traffic_model,Departure time,Distance (meters),Distance (text),Duration (seconds),Duration (text),Duration in traffic (seconds),Duration in traffic (text)
2021-07-29 19:29:16.952682,"28.43164,77.07254","28.47243,77.05457","['Artemis Hospital Opd, Sector 51, Bindapur, Haryana 122022']","['Palm Court, Mehrauli Rd, Industrial Development Area, Sector 16, Gurugram, Haryana 122007, India']",driving,best_guess,now,6640,6.6 km,925,15 min,929,15 mins
2021-07-29 19:29:18.111022,"8 Hawley St, Levenshulme, Manchester M19 2QS, United Kingdom","24 Wheler St, Openshaw, Manchester M11 1DF, United Kingdom","['8 Hawley St, Manchester M19 2QS, UK']","['24 Wheler St, Openshaw, Manchester M11 1DF, UK']",driving,best_guess,now,6273,6.3 km,921,15 min,943,15 mins
2021-07-29 19:29:20.058978,Paris,Milan,"['Paris, France']","['Milan, Metropolitan City of Milan, Italy']",driving,best_guess,now,850892,851 km,31115,8 hours 39 mins,33245,9 hours 14 mins
2021-07-29 19:29:24.661995,"M19 2QS, United Kingdom","M11 1DF, United Kingdom","['M19 2QS, Hawley St, Manchester, UK']","['M11 1DF, Wheler St, Openshaw, Manchester, UK']",driving,best_guess,now,6265,6.3 km,915,15 min,937,15 mins
